5.811456876876959221e-01 6.891034224571290778e-01
4.869229651174055151e-01 5.144524025967746050e-01
4.565079922384264188e-01 4.756668455190443678e-01
4.335071292107848251e-01 4.482111963854128467e-01
4.150097245833611614e-01 4.269341319072589291e-01
3.995261427335765614e-01 4.095639527292544435e-01
3.862131623897456789e-01 3.948797283394205326e-01
3.745410161345256728e-01 3.821562421450913627e-01
3.641372956366477620e-01 3.709449139979643650e-01
3.547673994714708456e-01 3.609081253522636867e-01
3.462309509448022737e-01 3.518333184599573560e-01
3.383992582433542617e-01 3.435553434132033734e-01
3.311677617035508336e-01 3.359264868438806562e-01
3.244417092563724458e-01 3.288766602260142502e-01
3.181568549076201347e-01 3.223005732907557874e-01
3.122655834173110323e-01 3.161524872229205529e-01
3.067195547687563417e-01 3.103838327039428746e-01
3.014753052709150949e-01 3.049326386987907256e-01
2.964958194078409770e-01 2.997817882742702666e-01
2.917726075371669947e-01 2.949013376590113311e-01
2.872714803624394353e-01 2.902477600287543535e-01
2.829648880337687356e-01 2.858142519957421746e-01
2.788524518975942779e-01 2.815748179655455097e-01
2.749036077214328522e-01 2.775181935718700199e-01
2.711183634109213814e-01 2.736301786749522069e-01
2.674769859339900524e-01 2.698843508124102453e-01
2.651136532446078942e-01 2.674769919312917632e-01
2.616939397044560911e-01 2.639590139751821773e-01
2.594679758395275759e-01 2.616939453472790222e-01
2.562391422094894566e-01 2.583770784295746914e-01
2.541427441864019254e-01 2.562391475355821902e-01
2.520891454695405876e-01 2.541427494090266470e-01
2.500794317071233230e-01 2.520891505855421544e-01
2.481123046019095835e-01 2.500794367137969543e-01
2.461765264023803579e-01 2.481123144030700500e-01
2.442895709842375362e-01 2.461765360473699982e-01
2.424309427390074489e-01 2.442895803859687631e-01
2.406114959129662112e-01 2.424309519995984097e-01
2.388293438252403478e-01 2.406115049783365545e-01
2.370766538977655546e-01 2.388293527047901099e-01
2.353596109283380700e-01 2.370766626305202962e-01
2.336607816837333873e-01 2.353596194834824684e-01
2.311866646140523784e-01 2.328311779309870100e-01
2.295649134642616107e-01 2.311866728077770494e-01
2.279738433047518720e-01 2.295649215446154967e-01
2.264016324826321203e-01 2.279738512322382893e-01
2.248612648243639156e-01 2.264016403161518698e-01
2.233390327062136915e-01 2.248612724992258560e-01
2.218448403998214413e-01 2.233390402907152184e-01
2.203815512927037035e-01 2.218448478446152228e-01
2.189308824394324837e-01 2.203815585835227631e-01
2.175026273601887716e-01 2.189308896673708427e-01
2.160976352307036330e-01 2.175026344764510733e-01
2.147098288567851343e-01 2.160976422310585954e-01
2.133364603472819865e-01 2.147098357715121753e-01
2.119886222171925572e-01 2.133364671900724874e-01
2.106654704540407430e-01 2.119886289327785611e-01
2.093550554449866152e-01 2.106654770466271920e-01
2.080612504677092078e-01 2.093550619741121055e-01
2.067772116526513104e-01 2.080612569140755097e-01
2.055189363525283808e-01 2.067772180503577029e-01
2.042730930260742428e-01 2.055189426218687887e-01
2.030512846824944484e-01 2.042730992334721440e-01
2.018404218035173558e-01 2.030512907701386982e-01
2.006403581338468411e-01 2.018404278366256466e-01
1.994528868190610371e-01 2.006403641131481730e-01
1.982843425175454810e-01 1.994528927356212233e-01
1.971288865548929126e-01 1.982843483398022411e-01
1.959960211681907039e-01 1.971288923119370318e-01
1.948600004006291742e-01 1.959960268126778316e-01
1.937454374978005156e-01 1.948600060608373097e-01
1.926462126894456506e-01 1.937454430510957559e-01
1.915584180390675073e-01 1.926462181663188833e-01
1.904840918391735305e-01 1.915584234589900459e-01
1.894182819027252773e-01 1.904840971919897208e-01
1.883623757898088835e-01 1.894182872131091599e-01
1.873130564474506654e-01 1.883623810508471830e-01
1.862854969225973822e-01 1.873130616756703559e-01
1.852659446597516302e-01 1.862855020423994368e-01
1.842533162684041326e-01 1.852659497396572652e-01
1.832507887484171039e-01 1.842533213138116688e-01
1.822647499376608971e-01 1.832507987385773862e-01
1.812882519123591718e-01 1.822647597635617400e-01
1.803183804844917248e-01 1.812882616431852056e-01
1.793550810488239167e-01 1.803183901492832475e-01
1.783995377832485185e-01 1.793550906481253815e-01
1.774626004502078969e-01 1.783995473052596981e-01
1.765329641558574525e-01 1.774626097868116092e-01
1.756093492896688146e-01 1.765329734197050304e-01
1.746924163540536090e-01 1.756093584935125851e-01
1.737804997066296764e-01 1.746924254913118091e-01
1.728892383754149775e-01 1.737805087939003346e-01
1.719909516181361564e-01 1.728892472568565042e-01
1.711095473604571926e-01 1.719909605695834620e-01
1.702352134227610447e-01 1.711095561436723755e-01
1.693691826732678096e-01 1.702352221355193373e-01
1.685172187686825862e-01 1.693691913032847607e-01
1.676585986884949198e-01 1.685172272585236941e-01
1.663952291479160461e-01 1.672432052887986020e-01
1.651565157548556817e-01 1.659857666572955859e-01
1.643329005060695791e-01 1.651565240182774619e-01
1.635132083122444457e-01 1.643329087134148547e-01
